name,kind,note,sense,num_variables,num_rows,status,primal_objective,dual_objective,duality_gap,dual_status,dual_involution_ok,max_constraint_residual,max_reduced_cost_identity,max_complementarity,max_dual_feasibility_violation,complementarity_ok,solve_time,axis,value,baseline_value,delta,baseline_shadow_price,prediction_rule,break_even_value,predicted_objective,prediction_error,prediction_holds,shadow_row
cap_L_150,sensitivity_capacity,capacity_L,max,3,5,OPTIMAL,2749.9999999999995,2749.9999999999995,0.0,OPTIMAL,True,0.0,0.0,3.552713678800501e-13,0.0,True,0.000541,capacity_L,150.0,80.0,70.0,10.000000000000004,rhs_linear,,3000.0,250.00000000000045,False,cap_L
profit_P2_25,sensitivity_profit,profit_P2,max,3,5,OPTIMAL,2300.0,2300.0,0.0,OPTIMAL,True,0.0,0.0,2.1316282072803013e-13,0.0,True,0.000137,profit_P2,25.0,30.0,-5.0,-5.000000000000007,reduced_cost_breakeven,35.00000000000001,2300.0,0.0,True,x_P2
profit_P2_30,sensitivity_profit,profit_P2,max,3,5,OPTIMAL,2300.0,2300.0,0.0,OPTIMAL,True,0.0,0.0,2.1316282072803003e-13,0.0,True,0.000103,profit_P2,30.0,30.0,0.0,-5.000000000000007,reduced_cost_breakeven,35.00000000000001,2300.0,0.0,True,x_P2
profit_P2_35,sensitivity_profit,profit_P2,max,3,5,OPTIMAL,2300.0,2300.0,0.0,OPTIMAL,True,0.0,0.0,2.1316282072803e-13,0.0,True,0.000112,profit_P2,35.0,30.0,5.0,-5.000000000000007,reduced_cost_breakeven,35.00000000000001,2300.0,0.0,True,x_P2
profit_P2_40,sensitivity_profit,profit_P2,max,3,5,OPTIMAL,2399.9999999999995,2400.0,4.547473508864641e-13,OPTIMAL,True,0.0,0.0,3.7895612573872017e-13,0.0,True,0.000127,profit_P2,40.0,30.0,10.0,-5.000000000000007,reduced_cost_breakeven,35.00000000000001,,,True,x_P2
profit_P2_45,sensitivity_profit,profit_P2,max,3,5,OPTIMAL,2500.000000000001,2500.0,9.094947017729282e-13,OPTIMAL,True,2.842170943040401e-14,0.0,5.684341886080799e-13,7.105427357601002e-15,True,0.000106,profit_P2,45.0,30.0,15.0,-5.000000000000007,reduced_cost_breakeven,35.00000000000001,,,True,x_P2
demand_P1_10,sensitivity_demand,max_demand_P1,max,3,5,OPTIMAL,2150.0,2150.0,0.0,OPTIMAL,True,0.0,0.0,0.0,0.0,True,0.000105,max_demand_P1,10.0,40.0,-30.0,0.0,rhs_linear,,2300.0,150.0,False,demand_P1
demand_P1_15,sensitivity_demand,max_demand_P1,max,3,5,OPTIMAL,2225.0,2225.0,0.0,OPTIMAL,True,0.0,0.0,0.0,0.0,True,0.0001,max_demand_P1,15.0,40.0,-25.0,0.0,rhs_linear,,2300.0,75.0,False,demand_P1
demand_P1_20,sensitivity_demand,max_demand_P1,max,3,5,OPTIMAL,2300.0,2300.0,0.0,OPTIMAL,True,0.0,0.0,0.0,0.0,True,9.6e-05,max_demand_P1,20.0,40.0,-20.0,0.0,rhs_linear,,2300.0,0.0,True,demand_P1
demand_P1_25,sensitivity_demand,max_demand_P1,max,3,5,OPTIMAL,2300.0,2300.0,0.0,OPTIMAL,True,0.0,0.0,0.0,0.0,True,0.000108,max_demand_P1,25.0,40.0,-15.0,0.0,rhs_linear,,2300.0,0.0,True,demand_P1
demand_P1_30,sensitivity_demand,max_demand_P1,max,3,5,OPTIMAL,2300.0,2300.0,0.0,OPTIMAL,True,0.0,0.0,2.1316282072803003e-13,0.0,True,0.000108,max_demand_P1,30.0,40.0,-10.0,0.0,rhs_linear,,2300.0,0.0,True,demand_P1
demand_P1_40,sensitivity_demand,max_demand_P1,max,3,5,OPTIMAL,2300.0,2300.0,0.0,OPTIMAL,True,0.0,0.0,2.1316282072803003e-13,0.0,True,9.7e-05,max_demand_P1,40.0,40.0,0.0,0.0,rhs_linear,,2300.0,0.0,True,demand_P1
