run_id,instance,input_sha256,group,method,seed,objective_name,time_limit,status,objective,best_bound,gap,iterations,build_time,solve_time,wall_time,validation,failure_reason,reference_type,reference,gap_to_reference
parallel_12__tl_3__cpsat_parallel__0,parallel_12,2cfee1ab5c5b8053f2fcc8f82b5fed090e783330c677da957b81b9701616c194,tl_3,cpsat_parallel,0,makespan,3.0,OPTIMAL,39.0,39.0,0.0,687,0.001433,0.019983,0.021416,,,proven_by_solver,39.0,0.0
parallel_12__tl_30__cpsat_parallel__0,parallel_12,2cfee1ab5c5b8053f2fcc8f82b5fed090e783330c677da957b81b9701616c194,tl_30,cpsat_parallel,0,makespan,30.0,OPTIMAL,39.0,39.0,0.0,687,0.00132,0.018145,0.019465,,,proven_by_solver,39.0,0.0
parallel_24__main__cpsat_parallel__0,parallel_24,d89d9a5c5c3dc603439edef324a30c9f1682840c1e4f2d222d025a434bc9b4f6,main,cpsat_parallel,0,makespan,10.0,FEASIBLE,71.0,24.0,0.6619718309859155,49641,0.002203,10.000979,10.003182,,,proven_by_solver,71.0,0.0
parallel_24__main__cpsat_symmetry__0,parallel_24,d89d9a5c5c3dc603439edef324a30c9f1682840c1e4f2d222d025a434bc9b4f6,main,cpsat_symmetry,0,makespan,10.0,OPTIMAL,71.0,71.0,0.0,10644,0.004867,0.461841,0.466708,,,proven_by_solver,71.0,0.0
parallel_24__main__milp_alt__0,parallel_24,d89d9a5c5c3dc603439edef324a30c9f1682840c1e4f2d222d025a434bc9b4f6,main,milp_alt,0,makespan,10.0,FEASIBLE,73.0,43.0,0.410958904109589,28,0.635384,9.537922,10.173305,,,proven_by_solver,71.0,0.028169014084507043
parallel_24__main__heur_parallel_lpt__0,parallel_24,d89d9a5c5c3dc603439edef324a30c9f1682840c1e4f2d222d025a434bc9b4f6,main,heur_parallel_lpt,0,makespan,10.0,FEASIBLE,75.0,,,,0.0,0.000391,0.000391,,,proven_by_solver,71.0,0.056338028169014086
parallel_24__tl_3__cpsat_parallel__0,parallel_24,d89d9a5c5c3dc603439edef324a30c9f1682840c1e4f2d222d025a434bc9b4f6,tl_3,cpsat_parallel,0,makespan,3.0,FEASIBLE,71.0,24.0,0.6619718309859155,17206,0.002177,3.001796,3.003973,,,proven_by_solver,71.0,0.0
parallel_24__tl_30__cpsat_parallel__0,parallel_24,d89d9a5c5c3dc603439edef324a30c9f1682840c1e4f2d222d025a434bc9b4f6,tl_30,cpsat_parallel,0,makespan,30.0,FEASIBLE,71.0,24.0,0.6619718309859155,142997,0.002314,30.001176,30.00349,,,proven_by_solver,71.0,0.0
routes_6__main__cpsat_jsp__0,routes_6,7871173b9866f68d15f0d883f7d0174d082848e4c588da98ab530689665d8384,main,cpsat_jsp,0,makespan,10.0,OPTIMAL,56.0,56.0,0.0,903,0.001983,0.031235,0.033218,,,proven_by_solver,56.0,0.0
routes_6__main__cpsat_parallel__0,routes_6,7871173b9866f68d15f0d883f7d0174d082848e4c588da98ab530689665d8384,main,cpsat_parallel,0,makespan,10.0,OPTIMAL,56.0,56.0,0.0,903,0.002327,0.030573,0.0329,,,proven_by_solver,56.0,0.0
routes_6__tl_3__cpsat_parallel__0,routes_6,7871173b9866f68d15f0d883f7d0174d082848e4c588da98ab530689665d8384,tl_3,cpsat_parallel,0,makespan,3.0,OPTIMAL,56.0,56.0,0.0,903,0.001439,0.028733,0.030172,,,proven_by_solver,56.0,0.0
routes_6__tl_30__cpsat_parallel__0,routes_6,7871173b9866f68d15f0d883f7d0174d082848e4c588da98ab530689665d8384,tl_30,cpsat_parallel,0,makespan,30.0,OPTIMAL,56.0,56.0,0.0,903,0.00165,0.034581,0.036231,,,proven_by_solver,56.0,0.0
routes_10__main__cpsat_jsp__0,routes_10,b0266bae16099b951005d893e27fd5f9b901f0d8fc0a5f3fc9084f9d80301524,main,cpsat_jsp,0,makespan,10.0,FEASIBLE,71.0,37.0,0.4788732394366197,67970,0.002483,10.001015,10.003498,,,best-known,71.0,0.0
routes_10__main__cpsat_parallel__0,routes_10,b0266bae16099b951005d893e27fd5f9b901f0d8fc0a5f3fc9084f9d80301524,main,cpsat_parallel,0,makespan,10.0,FEASIBLE,71.0,37.0,0.4788732394366197,67536,0.002537,10.000984,10.003521,,,best-known,71.0,0.0
routes_10__tl_3__cpsat_parallel__0,routes_10,b0266bae16099b951005d893e27fd5f9b901f0d8fc0a5f3fc9084f9d80301524,tl_3,cpsat_parallel,0,makespan,3.0,FEASIBLE,71.0,37.0,0.4788732394366197,24580,0.001908,3.000621,3.002529,,,best-known,71.0,0.0
routes_10__tl_30__cpsat_parallel__0,routes_10,b0266bae16099b951005d893e27fd5f9b901f0d8fc0a5f3fc9084f9d80301524,tl_30,cpsat_parallel,0,makespan,30.0,FEASIBLE,71.0,37.0,0.4788732394366197,183430,0.002932,30.000779,30.003712,,,best-known,71.0,0.0
