run_id,instance,input_sha256,group,algorithm,seed,objective_name,budget,temperature,cooling,status,objective,evaluations,elapsed_seconds,reference_type,reference,gap,failure_reason
single_12__main__random__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,random,2,total_tardiness,150,10.0,0.98,BUDGET,296.0,150,0.02464960003271699,best-known,250.0,0.184,
single_12__main__first__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,first,0,total_tardiness,150,10.0,0.98,BUDGET,575.0,150,0.022658499947283417,best-known,250.0,1.3,
single_12__main__first__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,first,1,total_tardiness,150,10.0,0.98,BUDGET,575.0,150,0.022750700009055436,best-known,250.0,1.3,
single_12__main__first__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,first,2,total_tardiness,150,10.0,0.98,BUDGET,575.0,150,0.02263889997266233,best-known,250.0,1.3,
single_12__main__best__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,best,0,total_tardiness,150,10.0,0.98,BUDGET,529.0,150,0.022746299975551665,best-known,250.0,1.116,
single_12__main__best__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,best,1,total_tardiness,150,10.0,0.98,BUDGET,529.0,150,0.022899099974893034,best-known,250.0,1.116,
single_12__main__best__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,best,2,total_tardiness,150,10.0,0.98,BUDGET,529.0,150,0.02274569997098297,best-known,250.0,1.116,
single_12__main__multistart__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,multistart,0,total_tardiness,150,10.0,0.98,BUDGET,371.0,150,0.022707699972670525,best-known,250.0,0.484,
single_12__main__multistart__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,multistart,1,total_tardiness,150,10.0,0.98,BUDGET,322.0,150,0.022635300003457814,best-known,250.0,0.288,
single_12__main__multistart__2,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,multistart,2,total_tardiness,150,10.0,0.98,BUDGET,426.0,150,0.022748099989257753,best-known,250.0,0.704,
single_12__main__sa__0,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,sa,0,total_tardiness,150,10.0,0.98,BUDGET,263.0,150,0.022691500023938715,best-known,250.0,0.052,
single_12__main__sa__1,single_12,de904454fddb4a082f8efe66a26c940f94997a57de4f5098ddd6034ff67564df,main,sa,1,total_tardiness,150,10.0,0.98,BUDGET,266.0,150,0.02285959996515885,best-known,250.0,0.064,
